Ticker,Fitur,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,Split_Mode
ACES,Open,5,15329.4541,91.18328094,0.140465073,122.1677195,-0.385676381,date
ADMR,Open,29,6561.204102,64.13465881,0.046699623,80.42682865,-0.197185546,ratio
ADRO,Open,14,1342219.125,1087.388794,0.631852774,1158.432775,-7.429331508,date
AKRA,Open,19,485258.3438,683.6412354,0.478532948,696.5994087,-26.16243442,date
AMRT,Open,10,3988039,1989.26001,0.696989513,1997.001417,-128.2320539,date
ANTM,Open,11,357398.0313,570.7598877,0.358598794,597.7416969,-10.3357151,date
ARTO,Open,22,2694014.75,1046.920776,0.278697653,1630.769303,-0.048836252,ratio
ASII,Open,26,304301.2188,435.0656738,0.08174664,551.6328356,-0.215288354,date
BBCA,Open,22,21621762,4606.503418,0.502306874,4649.917768,-52.80578317,date
ACES,High,5,18718.86133,103.1880264,0.159391121,135.5946462,-0.748237827,date
ADMR,High,29,6518.055664,65.58695221,0.047981916,80.39248729,-0.185472919,ratio
ADRO,High,14,1340700.375,1086.681274,0.631404845,1157.774443,-7.419591185,date
AKRA,High,8,485381.5938,683.7182617,0.478587296,696.675755,-26.17036057,date
AMRT,High,14,3982733,1987.926636,0.696519995,1995.673311,-128.0601012,date
ANTM,High,11,356125.5313,569.6355591,0.35786554,596.6678679,-10.29445493,date
ARTO,High,24,2705315.75,1045.386475,0.27678334,1634.038861,-0.052915729,ratio
ASII,High,27,303539.5,434.5447693,0.08166722,550.9420085,-0.212246315,date
BBCA,High,21,21535398,4597.120605,0.501274116,4640.622725,-52.59074584,date
ACES,Low,4,20869.5625,123.4309158,0.163408221,142.4833179,-0.941526033,date
ADMR,Low,28,7059.688477,69.15351105,0.050870462,83.21565729,-0.305007131,ratio
ADRO,Low,9,1344117.375,1088.25415,0.632394162,1159.251591,-7.441245981,date
AKRA,Low,11,483608.0625,682.4321289,0.477670332,695.4128918,-26.07047446,date
AMRT,Low,10,3984991.25,1988.495728,0.696720105,1996.23999,-128.1332535,date
ANTM,Low,11,356828.9063,570.2567749,0.358270564,597.2610641,-10.31715195,date
ARTO,Low,22,2708371.75,1044.779785,0.276136646,1635.010592,-0.054214283,ratio
ASII,Low,23,305889.125,436.1417236,0.081911033,553.0689556,-0.221628185,date
BBCA,Low,27,21617918,4606.087402,0.502261441,4649.506188,-52.79601958,date
ACES,Volume,5,12321.5459,83.58605957,0.123511728,110.4723977,-0.123998647,date
ADMR,Volume,29,6444.756348,66.37873077,0.048722551,80.0819557,-0.192592129,ratio
ADRO,Volume,10,1339025.625,1085.912231,0.630922412,1157.05378,-7.409272022,date
