Ticker,Fitur,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,Split_Mode
CTRA,Open,9,37380.44141,162.3847046,0.13383072,193.3113479,-2.246766944,date
ESSA,Open,25,40997.09766,161.8431244,0.255010929,201.8202183,-1.388825302,date
EXCL,Open,8,30577.4375,131.4572296,0.06603476,173.9731408,-0.17076032,date
GOTO,Open,6,224.0240173,12.57639027,0.219873272,13.96684505,-3.979345259,ratio
ICBP,Open,30,9959219,3084.536133,0.278713225,3155.793509,-21.41599125,date
INCO,Open,29,2626236.5,1227.966309,0.223651931,1619.614894,-1.351629082,date
INDF,Open,21,1165814.5,928.2927246,0.137187454,1079.067058,-2.853879646,date
INKP,Open,25,4614146.5,1932.832397,0.216430593,2147.863717,-4.263049116,date
ISAT,Open,12,1806163.125,1317.059204,0.528254217,1343.910575,-24.91791825,date
ITMG,Open,32,255640240,15862.46582,0.660005796,15988.52205,-62.67486027,date
JPFA,Open,18,58147.85938,172.7378235,0.120349903,240.7281076,-0.246265273,date
JSMR,Open,22,416000.125,550.8792725,0.123725951,644.7869962,-0.073347839,date
KLBF,Open,16,117465.0625,286.5771484,0.16243306,342.5703885,-2.317898953,date
MAPA,Open,19,274128.3125,509.3937378,0.606426076,523.5624793,-17.93621163,ratio
MAPI,Open,8,975565.75,967.1121216,0.565971744,987.7035004,-23.23090056,date
MBMA,Open,31,964.015625,25.84555244,0.050357575,28.34929398,-5.005975025,ratio
MDKA,Open,14,6660308,2471.157227,0.677373245,2580.520539,-11.07380758,ratio
MEDC,Open,8,502596.4063,684.9126587,0.565486711,708.9398418,-14.01581635,date
PGAS,Open,7,43512.27344,178.4481812,0.139162661,208.3942051,-0.067048682,date
PGEO,Open,45,1939.177856,36.26755524,0.035287747,41.71719304,-2.391245702,ratio
CTRA,High,14,36960.57813,161.2173462,0.132824625,192.2490702,-2.210377449,date
ESSA,High,5,173591.3281,395.4673157,0.547997051,416.6312598,-9.100538941,date
EXCL,High,8,28773.32422,131.0847931,0.065212007,169.0486807,-0.110544916,date
GOTO,High,7,161.6375275,10.67395878,0.183302053,12.16087486,-2.763367968,ratio
ICBP,High,34,9951220,3083.249023,0.278595681,3154.534724,-21.39773059,date
INCO,High,18,2638197.75,1232.80896,0.224709482,1623.320411,-1.362403141,date
INDF,High,22,1154837.25,922.4144287,0.13627642,1074.01448,-2.81819957,date
INKP,High,36,4614438,1932.949097,0.216444466,2147.96046,-4.263278137,date
ISAT,High,10,1792053.125,1311.677002,0.526039732,1338.63871,-24.71896868,date
ITMG,High,28,255803472,15867.64453,0.660223744,15993.66002,-62.71612957,date
JPFA,High,11,58472.66797,172.9005127,0.120317321,241.4144737,-0.253504866,date
JSMR,High,31,414446.625,549.3292847,0.123502544,643.5663008,-0.069174222,date
KLBF,High,11,117961.5391,287.3955688,0.16292907,343.2591812,-2.331422593,date
MAPA,High,11,272342.7813,507.6391296,0.6042636,521.8552885,-17.81217425,ratio
MAPI,High,18,977974.875,968.3522339,0.566714808,988.9225777,-23.29074307,date
MBMA,High,28,696.5386353,21.76617241,0.041996409,24.63130912,-3.980390825,ratio
MDKA,High,10,6637833,2466.624756,0.67604335,2576.177991,-11.03282771,ratio
MEDC,High,12,501610.4375,684.1934204,0.564865922,708.2445278,-13.98600221,date
PGAS,High,7,43110.60156,184.4577179,0.149212532,207.5391975,-0.057570468,date
PGEO,High,43,1955.660767,35.69488144,0.034593983,41.10299972,-2.419791044,ratio
CTRA,Low,16,36671.95313,160.3847504,0.13210743,191.4975574,-2.185164999,date
ESSA,Low,9,174513.4844,396.6372986,0.549725976,417.7408596,-9.153896855,date
EXCL,Low,8,31136.24023,134.0425873,0.067138094,175.7339367,-0.20737526,date
GOTO,Low,6,170.633316,10.66344547,0.177914718,12.02601674,-2.778642969,ratio
ICBP,Low,37,9939138,3081.287598,0.278416089,3152.617885,-21.37061405,date
INCO,Low,21,2622595.25,1226.536865,0.223341495,1618.515994,-1.348426472,date
INDF,Low,24,1159420.75,924.8453979,0.136652418,1076.096645,-2.832390007,date
INKP,Low,36,4584830.5,1925.268555,0.215538308,2141.046535,-4.22961823,date
ISAT,Low,14,1809982.75,1318.511108,0.528851924,1345.332632,-24.9712188,date
ITMG,Low,38,255386512,15854.45801,0.659668893,15980.57907,-62.61148732,date
JPFA,Low,12,58248.80469,172.8007355,0.120352926,240.9452987,-0.248571421,date
JSMR,Low,23,416752.2813,551.6703491,0.123835593,645.3676702,-0.075266538,date
KLBF,Low,13,116486.0938,284.8893738,0.161407764,341.1397824,-2.290269971,date
MAPA,Low,14,274178.1563,509.4422607,0.606485534,523.6098885,-17.93990264,ratio
MAPI,Low,8,984762,971.8482666,0.56881421,992.3464657,-23.45969015,date
MBMA,Low,28,767.0228882,22.50742531,0.043605751,25.26198421,-5.045008669,ratio
MDKA,Low,18,6632108,2465.435547,0.675687693,2575.04333,-11.02283433,ratio
MEDC,Low,13,502303.2813,684.6995239,0.56530312,708.7335368,-14.00673933,date
PGAS,Low,7,43272.22656,176.8196869,0.136908104,207.9203304,-0.06069339,date
PGEO,Low,50,2375.984375,38.47786713,0.037416436,43.66937948,-2.861740479,ratio
CTRA,Volume,9,37572.01563,162.9164581,0.134285684,193.8072218,-2.262367522,date
ESSA,Volume,5,175305.3594,397.5697021,0.55109982,418.6313818,-9.198726196,date
EXCL,Volume,9,34640.125,137.3173981,0.069723475,185.1002321,-0.336628191,date
GOTO,Volume,6,173.8567505,10.52728653,0.171284222,12.09886936,-2.828866598,ratio
ICBP,Volume,30,9952036,3083.37915,0.278607509,3154.662143,-21.39965721,date
INCO,Volume,21,2626383.25,1227.981445,0.223653755,1619.632374,-1.351691838,date
INDF,Volume,25,1160984,925.7104492,0.136786769,1076.838644,-2.837754102,date
INKP,Volume,36,4577352.5,1923.335815,0.215310273,2139.306344,-4.221016006,date
ISAT,Volume,10,1811396,1319.040161,0.52906825,1345.852458,-24.9939611,date
ITMG,Volume,30,255894832,15870.50293,0.660344013,15996.49614,-62.7384627,date
JPFA,Volume,10,58847.48828,173.2855225,0.120493877,242.2098922,-0.262320433,date
