Date,Predicted_Close,Smoothed_Close,Price,Open,High,Low,Vol.,Change %
2025-03-03,624.2296,624.2296143,670.0,650,705,645,29.95M,3.88%
2025-03-04,625.4676,624.6477386,665.0,675,675,655,17.39M,-0.75%
2025-03-05,626.30066,625.074228,680.0,670,685,660,24.93M,2.26%
2025-03-06,627.0842,625.4990818,675.0,685,700,665,20.48M,-0.74%
2025-03-07,627.4992,625.8615989,670.0,675,680,665,9.16M,-0.74%
2025-03-10,628.08057,626.2178402,675.0,675,680,665,16.06M,0.75%
2025-03-11,628.9889,626.6215718,665.0,675,675,655,9.56M,-1.48%
2025-03-12,629.5808,627.0202424,655.0,665,665,650,11.81M,-1.50%
2025-03-13,629.0971,627.2828088,645.0,655,660,645,6.23M,-1.53%
2025-03-14,629.992,627.6080398,600.0,645,645,590,36.05M,-6.98%
2025-03-17,631.1982,628.0211973,615.0,605,625,600,16.78M,2.50%
2025-03-18,630.1418,628.256954,580.0,615,620,565,41.63M,-5.69%
2025-03-19,631.27264,628.582886,595.0,600,610,585,34.97M,2.59%
2025-03-20,632.347,628.9804072,505.0,595,625,496,204.67M,-15.13%
2025-03-21,632.9499,629.391758,500.0,520,540,492,140.54M,-0.99%
2025-03-24,633.0975,629.769868,500.0,500,520,486,79.54M,0.00%
2025-03-25,633.0604,630.1013823,505.0,500,515,500,39.57M,1.00%
2025-03-26,633.25006,630.4153216,520.0,505,525,505,43.32M,2.97%
2025-03-27,634.3601,630.8053019,500.0,525,530,498,62.79M,-3.85%
2025-04-08,635.1411,631.23096,450.0,426,462,426,124.43M,-10.00%
2025-04-09,635.7308,631.6702028,462.0,450,476,446,87.89M,2.67%
2025-04-10,636.9122,632.1795019,500.0,484,510,478,106.35M,8.23%
