Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ACES,Open_LAG,1,192,256,0.3924114234624882,0.0028740228322132588,64,Adam,6,0.5870845913887024,0.4515887313822582,0.13353804104530248,0.5870846145281658,0.6345282081343995
ACES,Open_LAG,2,32,192,0.4719721538220002,0.002990294454451049,64,SGD,91,0.3555602729320526,0.2681138797654007,0.26675578175289816,0.35556028863659345,0.594060778198823
ACES,Open_LAG,3,224,96,0.15582284329725166,0.0018623032618521344,64,Adam,3,0.22042125463485718,0.17260244883787676,0.29374157710679016,0.2204212514528386,0.5799982955259544
ACES,Open_LAG,4,224,96,0.2226638507295152,0.002399520130977131,32,Adam,28,0.18580368161201477,0.14380892282842864,0.09360518411539419,0.18580368685273962,0.6856152432532667
ACES,Open_LAG,5,224,192,0.3039547049871716,0.0033726133615377073,16,AdamW,42,0.1695939004421234,0.1312225943391015,0.3001582033781615,0.16959390874617403,0.13743139838647378
ACES,High_LAG,1,224,256,0.36702858449768494,0.0016510856431052007,16,Adam,6,0.551774799823761,0.4275637738117086,0.12971921637474504,0.551774860451467,0.6771682179882499
ACES,High_LAG,2,128,192,0.24776411147698754,0.004837916476949999,32,Adam,2,0.34907153248786926,0.25797217116962373,0.2594993409636179,0.3490715360495644,0.6087418574779149
ACES,High_LAG,3,256,160,0.4863668020206777,0.00010844333650700765,32,RMSprop,6,0.21505814790725708,0.16963959311953797,0.28592387799243507,0.2150581539708369,0.6001878826413369
ACES,High_LAG,4,96,160,0.11228000815701972,0.0005072400248497914,16,Adam,66,0.18257364630699158,0.1411235457340591,0.09187290050654055,0.18257364358992106,0.696450870625152
ACES,High_LAG,5,96,96,0.16392287871475664,0.002397874136446472,16,Adam,59,0.1665523499250412,0.12867534223252577,0.2837488760286202,0.16655235424331774,0.1680931553132997
ACES,Low_LAG,1,192,256,0.31221516216954914,0.001660710868463124,16,Adam,18,0.5517058372497559,0.42866129802229963,0.13038251654809377,0.5517058560795032,0.677248958931731
ACES,Low_LAG,2,256,128,0.11800863395930206,0.0013599828873928164,32,SGD,82,0.3509988784790039,0.26326703664595136,0.2642303185987439,0.3509989161954566,0.6044093068786561
ACES,Low_LAG,3,224,64,0.29193785628889113,0.0002474432021372748,32,RMSprop,1,0.2165726125240326,0.16952592559011007,0.2845756948813964,0.21657262277711797,0.5945369925345048
ACES,Low_LAG,4,192,256,0.2614301452628537,0.002082196967447125,64,RMSprop,82,0.18193358182907104,0.14192276399608608,0.09215938366739851,0.18193358176668736,0.69857548879732
ACES,Low_LAG,5,96,64,0.4223963269973279,0.002454039127524292,16,RMSprop,43,0.16619881987571716,0.1286712983931358,0.28086985801467,0.16619881868733707,0.1716211330774925
ACES,Volume_LAG,1,128,96,0.286555389597752,0.004143837311033289,32,AdamW,4,0.7266855835914612,0.5445909860814481,0.15503107715005027,0.7266855970428928,0.44005474434986325
ACES,Volume_LAG,2,224,128,0.1831812761633978,0.004898896465208228,16,Adam,1,0.34717363119125366,0.26356770151488984,0.25854064796815585,0.3471736322744136,0.6129848366380346
ACES,Volume_LAG,3,96,64,0.36324295565183917,0.0005811924063626459,64,AdamW,59,0.21278797090053558,0.16326210369059926,0.2898003729255928,0.21278797996849894,0.6085842393974261
ACES,Volume_LAG,4,96,128,0.14182368725673195,0.0016923675126936718,16,RMSprop,77,0.2149527221918106,0.1678170782900562,0.10687168954921283,0.21495272233932164,0.5792358542467608
ACES,Volume_LAG,5,160,32,0.4490835372446145,0.002930746202424933,16,AdamW,63,0.16066882014274597,0.12791605858774047,0.2904214414696608,0.16066883008188368,0.22582987412706634
ACES,Close_LAG,1,160,128,0.45422916570337457,0.0031723621233271456,32,AdamW,2,0.5867211818695068,0.4528644847045732,0.1346294767769291,0.5867211740742434,0.6349805658240699
ACES,Close_LAG,2,224,128,0.4411547786872788,0.003892945337555172,64,AdamW,9,0.34933483600616455,0.26243046266814407,0.26003593336062003,0.3493348332115571,0.6081513996507665
ACES,Close_LAG,3,32,224,0.10296166082781433,0.004285320305857662,32,RMSprop,65,0.21936072409152985,0.17047904872122446,0.2852372344186806,0.219360726581278,0.5840301273796344
ACES,Close_LAG,4,128,192,0.43232192903179123,0.0035960187404987945,16,Adam,18,0.1842292845249176,0.14082740022456844,0.0935536156740523,0.18422929504009816,0.6909204960636629
ACES,Close_LAG,5,32,160,0.3562849137490212,0.002341978895468327,32,RMSprop,10,0.17135587334632874,0.13428084956468864,0.2877460881568745,0.1713558771956954,0.11941526056864937
ACES,Open_High_LAG,1,224,192,0.27715138229146785,0.0013337436421496207,32,Adam,19,0.6372238993644714,0.48153571914948645,0.13956593154053418,0.6372239362135406,0.5694370796225888
ACES,Open_High_LAG,2,224,64,0.38386585687400276,0.0038174095540881975,32,AdamW,2,0.3488089442253113,0.26536927831572416,0.25689452401706503,0.34880895159620734,0.6093302736224744
ACES,Open_High_LAG,3,256,192,0.25674414173156795,0.00021646663798788118,32,RMSprop,3,0.21609804034233093,0.17007125035493403,0.2839552040994059,0.21609806132385526,0.5963119749498317
ACES,Open_High_LAG,4,32,224,0.4659278906751113,0.0023828642194965665,32,Adam,75,0.18072810769081116,0.13858854246773225,0.09087847330101619,0.1807281137236067,0.7025566541456292
ACES,Open_High_LAG,5,224,128,0.29096733187437807,0.0008158645239419693,32,SGD,20,0.16557742655277252,0.13273345182058724,0.3026140603538713,0.1655774363052348,0.1778038218038973
ACES,Open_Low_LAG,1,192,192,0.2009488781197027,0.001980318553275532,32,Adam,6,0.5662959814071655,0.4260912845603793,0.12228863380403407,0.5662959679412859,0.6599526434580896
ACES,Open_Low_LAG,2,96,160,0.41391510094350414,0.003701124438695783,16,Adam,3,0.3445979654788971,0.2556777072807367,0.25920511446988315,0.3445979674428958,0.6187060295392078
ACES,Open_Low_LAG,3,64,32,0.4803133586099144,0.0009934856777836162,16,RMSprop,2,0.22061699628829956,0.17202509774081004,0.2892466641549417,0.2206170100520881,0.5792519477523674
ACES,Open_Low_LAG,4,32,192,0.38085027333852645,0.0018573659462756357,16,Adam,16,0.1852569580078125,0.14166761885195578,0.09431002410877228,0.18525694562982528,0.687462722320596
ACES,Open_Low_LAG,5,32,96,0.26380357649193353,0.0038909284214420155,16,AdamW,18,0.16673092544078827,0.1293365893913965,0.27791317508336244,0.16673092662592803,0.1663083084231033
ACES,Open_Volume_LAG,1,160,192,0.26503843813494754,0.002187355722440346,32,AdamW,4,0.6793923377990723,0.4991713280476204,0.13777203858423015,0.6793923637417383,0.5105663934225162
