Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADRO,Open_LAG,1,192,96,0.21556286146751208,0.004524819001385915,32,Adam,14,0.49301061034202576,0.3767915456027553,0.26360667719895864,0.493010599722254,0.40813477600610126
ADRO,Open_LAG,2,32,192,0.3005145004550629,0.002329399018596071,64,RMSprop,24,0.2923600971698761,0.2133409675405891,1.6376429635726077,0.29236010452297806,0.2909326579845558
ADRO,Open_LAG,3,192,160,0.28877487808377056,0.002754687845947939,16,AdamW,21,0.4232468903064728,0.30409314170634016,0.5534259402761383,0.4232469043201099,0.7706987711464384
ADRO,Open_LAG,4,224,128,0.33927304148009424,0.003588516829281295,32,AdamW,29,0.7607340216636658,0.584510195245363,0.0964833423138014,0.7607339855803764,0.6072402061014907
ADRO,Open_LAG,5,224,128,0.13166436872763929,0.0006003764095418742,32,Adam,70,0.27070352435112,0.2104397065508279,0.0674060744689818,0.2707035302959182,0.9262469327138344
ADRO,High_LAG,1,256,64,0.4417072384244264,0.004943891528732656,16,RMSprop,7,0.4368193447589874,0.3439700952059788,0.29505738767470147,0.43681934219791085,0.5353627431571031
ADRO,High_LAG,2,160,224,0.32491197752426376,0.0011187023802898244,16,RMSprop,99,0.29700809717178345,0.2155797670757411,1.8722246190113152,0.29700809807795464,0.2682076792913958
ADRO,High_LAG,3,192,256,0.15314551929301784,0.0022063804602051396,32,RMSprop,33,0.427779883146286,0.3037290952635314,0.5980590304854967,0.427779880010025,0.7657608355607358
ADRO,High_LAG,4,192,224,0.22542460114389198,0.004470676950893725,64,AdamW,20,0.7567974925041199,0.5698462394184327,0.09603958804888174,0.7567974850155733,0.6112944456933156
ADRO,High_LAG,5,64,160,0.28634028472619383,0.0009224223416280616,32,RMSprop,98,0.26835814118385315,0.2132719719627343,0.0714178232660252,0.26835814276776243,0.9275193961561097
ADRO,Low_LAG,1,192,160,0.41931860138455346,0.002565860168980213,64,RMSprop,56,0.40392574667930603,0.30519372037701004,0.22269996676952883,0.4039257474928234,0.6027047393967091
ADRO,Low_LAG,2,32,224,0.15520899969979485,0.00466901506851114,32,Adam,86,0.28787702322006226,0.20906990364936057,1.7409548568766242,0.28787702066830595,0.31251177357192816
ADRO,Low_LAG,3,256,96,0.36574060588560436,0.002762325578392308,16,RMSprop,19,0.4091838598251343,0.28823529427871797,0.5683500541214161,0.40918388756027585,0.785683380740976
ADRO,Low_LAG,4,192,224,0.10678418196200375,0.0020322401571129236,16,Adam,8,0.7593741416931152,0.580229031465182,0.09667437033124261,0.7593741493246521,0.6086430924378006
ADRO,Low_LAG,5,192,192,0.2326103480077616,0.004956429466330103,64,Adam,65,0.28995129466056824,0.2278570412387663,0.07180667750557379,0.28995129914607154,0.9153859728278583
ADRO,Volume_LAG,1,256,192,0.3132175478741197,0.0017810494568158692,32,Adam,36,0.5322988629341125,0.41620446869148214,0.2644770416422727,0.5322988265566554,0.3100441088589061
ADRO,Volume_LAG,2,96,192,0.20318784427841613,0.0016865140120241077,32,RMSprop,1,0.2942489981651306,0.21513531589103482,1.4317416510952132,0.29424899855189746,0.28174070788219974
ADRO,Volume_LAG,3,64,192,0.27700380313468026,0.0017851348235612624,32,Adam,10,0.4511980414390564,0.3249938135040508,0.6383503050565742,0.45119802605787834,0.7394127375347859
ADRO,Volume_LAG,4,192,224,0.10068843266271321,0.00476966082273387,64,Adam,2,0.9077754616737366,0.7323062494211068,0.11514282171454138,0.9077754519901103,0.44073420956332865
ADRO,Volume_LAG,5,160,256,0.13588360152926376,0.00022751193411493033,64,RMSprop,24,0.32748931646347046,0.24050851835013562,0.0730595704099275,0.32748931586634245,0.8920589795125721
ADRO,Close_LAG,1,192,128,0.1253845256711677,0.0049266578958793985,64,RMSprop,53,0.41870322823524475,0.31671358580326653,0.24054677790733436,0.41870323274367294,0.5731031623319758
ADRO,Close_LAG,2,256,128,0.18835786329734072,0.0009846632519833148,16,SGD,17,0.2997244596481323,0.2165828734146994,1.5350357882835544,0.29972445949611465,0.2547608914399674
ADRO,Close_LAG,3,160,64,0.2808844985994375,0.0007843730951883377,16,RMSprop,23,0.4378233551979065,0.30691774572449276,0.6104821001151567,0.4378233770399602,0.754632694069882
ADRO,Close_LAG,4,96,96,0.16686472502409375,0.004807877926688805,32,Adam,15,0.7711808681488037,0.5910967400105943,0.0981651572029796,0.771180851282639,0.5963789008306939
ADRO,Close_LAG,5,256,192,0.4305475557872641,0.0005957659128030035,32,RMSprop,82,0.2808648645877838,0.2197077513210007,0.07106571900010243,0.2808648642280378,0.9206061113803534
ADRO,Open_High_LAG,1,256,128,0.3959367758345016,0.0014913226765023678,16,AdamW,16,0.4778444468975067,0.3627571816943937,0.26653228506415455,0.47784444692553124,0.4439889836449872
ADRO,Open_High_LAG,2,64,160,0.46186417289573534,0.0031556794148135366,64,RMSprop,55,0.2878435552120209,0.20814061028572647,1.5739519007335843,0.2878435478404566,0.312671639316897
ADRO,Open_High_LAG,3,192,128,0.35351283330090294,0.0010086725685422892,32,RMSprop,51,0.4278232455253601,0.31114544690027457,0.7060771271913904,0.42782326745120275,0.7657133178824389
ADRO,Open_High_LAG,4,224,192,0.2598030020799117,0.0018348135860375414,32,AdamW,28,0.7526247501373291,0.5765164628520548,0.09650048585517489,0.7526247003854379,0.6155690713204736
ADRO,Open_High_LAG,5,96,224,0.3816448737616642,0.0028069504977196254,32,AdamW,48,0.282316118478775,0.20431645027301779,0.062317945306126325,0.2823160970240809,0.9197835329888406
ADRO,Open_Low_LAG,1,160,160,0.3240899715980925,0.002262534996533017,32,AdamW,27,0.4638034701347351,0.3545074041899819,0.2527999732478429,0.4638034799672424,0.4761845360916632
ADRO,Open_Low_LAG,2,128,32,0.4353727172199823,0.0030348988079391217,64,Adam,85,0.2917507290840149,0.2112528342628387,1.6842928811405293,0.2917507406622576,0.29388538454253377
ADRO,Open_Low_LAG,3,160,192,0.48330417837940504,0.002440982027927944,16,AdamW,87,0.43294766545295715,0.28674207795441675,0.46291376032595494,0.4329476865189105,0.7600671856681303
ADRO,Open_Low_LAG,4,128,224,0.3769828451666754,0.0012203594682105962,16,AdamW,27,0.7554206848144531,0.5837753937531434,0.09734258500970214,0.7554206611250647,0.6127074849402785
ADRO,Open_Low_LAG,5,224,192,0.14039921291643065,0.00041835944369933464,16,RMSprop,74,0.2736905813217163,0.21095530541885107,0.06982067994631481,0.27369057325360474,0.9246103154474907
ADRO,Open_Volume_LAG,1,192,224,0.3402475284450176,0.0015606838899124916,64,AdamW,35,0.4332442283630371,0.3288532536806347,0.25626628126789786,0.43324422115980166,0.5429372095138898
ADRO,Open_Volume_LAG,2,192,192,0.31302580143553876,0.00048116535468544587,16,SGD,38,0.29232242703437805,0.21098285821714508,1.499707608594195,0.29232241852991003,0.29111544752567464
ADRO,Open_Volume_LAG,3,192,32,0.3037352853650248,0.0002448614098941628,16,RMSprop,53,0.4208958148956299,0.2964214677721876,0.5438202423452676,0.42089581719047414,0.7732391787609888
ADRO,Open_Volume_LAG,4,64,192,0.16066347094458355,0.000836242454971285,16,Adam,4,1.1424983739852905,0.9062970984927398,0.13658032233503492,1.1424984061249952,0.11412470203481584
ADRO,Open_Volume_LAG,5,256,192,0.1643781595346655,0.002197235055551691,32,RMSprop,44,0.28542155027389526,0.22441619057301307,0.07672571094557032,0.2854215617709576,0.9180090716004594
ADRO,High_Low_LAG,1,256,128,0.10150995169891697,0.003528439742318798,16,RMSprop,8,0.45898228883743286,0.3477782313375324,0.25493014948653536,0.4589823068033226,0.48701791508700965
